kp0_jitter_px,kp1_jitter_px,kp2_jitter_px,kp3_jitter_px,kp4_jitter_px,kp5_jitter_px,kp6_jitter_px,kp7_jitter_px,kp8_jitter_px,kp9_jitter_px,kp10_jitter_px,kp11_jitter_px,kp12_jitter_px,kp13_jitter_px,kp14_jitter_px,kp15_jitter_px,kp16_jitter_px
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.163812756538391113e+00,1.700864911079406738e+00,5.103923082351684570e-01,3.875287294387817383e+00,6.671383976936340332e-01,4.914226055145263672e+00,1.806841969490051270e+00,5.628411293029785156e+00,5.039275169372558594e+00,4.488442420959472656e+00,1.154547977447509766e+01,1.105025386810302734e+01,9.606330871582031250e+00,2.258182525634765625e+01,2.265140151977539062e+01,6.142508506774902344e+00,8.952958106994628906e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.907746553421020508e-01,5.264535546302795410e-01,5.250349640846252441e-01,1.863574683666229248e-01,8.388575911521911621e-02,1.316436827182769775e-01,3.891762495040893555e-01,2.615406513214111328e-01,4.274010956287384033e-01,1.706677675247192383e+00,6.050508022308349609e-01,4.751155078411102295e-01,4.484856128692626953e-01,3.436473608016967773e-01,2.416360378265380859e-01,4.312770962715148926e-01,4.022318124771118164e-01
1.006591320037841797e-01,3.860010579228401184e-02,1.305464655160903931e-01,5.056405439972877502e-02,3.403994441032409668e-01,2.246760129928588867e-01,3.991723954677581787e-01,6.908596754074096680e-01,3.891075253486633301e-01,2.273054361343383789e+00,1.385005354881286621e+00,2.268698960542678833e-01,2.426330447196960449e-01,3.607388734817504883e-01,6.376045942306518555e-01,7.628293037414550781e-01,8.742527365684509277e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.327199131250381470e-01,2.039484977722167969e-01,2.788696885108947754e-01,2.073396295309066772e-01,1.249988824129104614e-01,2.449055761098861694e-01,6.445319652557373047e-01,8.152100443840026855e-01,6.194702982902526855e-01,1.584725856781005859e+00,1.069818139076232910e+00,1.028586268424987793e+00,1.354774355888366699e+00,3.803768157958984375e-01,7.557229399681091309e-01,1.853041946887969971e-01,3.938632905483245850e-01
5.400514006614685059e-01,3.142479062080383301e-01,5.852897167205810547e-01,1.619066745042800903e-01,7.890444397926330566e-01,3.719623386859893799e-01,2.419863700866699219e+00,6.538625717163085938e+00,7.589165687561035156e+00,1.325298213958740234e+01,7.753842830657958984e+00,2.364869117736816406e+00,2.833129644393920898e+00,8.493192791938781738e-01,5.349423885345458984e-01,1.415639638900756836e+00,1.852976679801940918e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
