t_sec,loop_dt_ms,inst_fps
2.637147903442382812e-03,2.637147903442382812e+00,3.791975402832031250e+02
3.984618186950683594e-02,3.720903396606445312e+01,2.687519454956054688e+01
7.605600357055664062e-02,3.620982360839843750e+01,2.761681556701660156e+01
1.101510524749755859e-01,3.409504699707031250e+01,2.932977294921875000e+01
1.430902481079101562e-01,3.293919372558593750e+01,3.035897064208984375e+01
1.715831756591796875e-01,2.849292755126953125e+01,3.509642791748046875e+01
2.083141803741455078e-01,3.673100280761718750e+01,2.722495841979980469e+01
2.372882366180419922e-01,2.897405624389648438e+01,3.451363372802734375e+01
2.711470127105712891e-01,3.385877609252929688e+01,2.953444099426269531e+01
3.052992820739746094e-01,3.415226745605468750e+01,2.928063201904296875e+01
3.545880317687988281e-01,4.928874969482421875e+01,2.028860473632812500e+01
3.718461990356445312e-01,1.725816726684570312e+01,5.794358062744140625e+01
4.033460617065429688e-01,3.149986267089843750e+01,3.174617004394531250e+01
4.382829666137695312e-01,3.493690490722656250e+01,2.862302780151367188e+01
4.710671901702880859e-01,3.278422546386718750e+01,3.050247383117675781e+01
5.047910213470458984e-01,3.372383117675781250e+01,2.965262222290039062e+01
5.382981300354003906e-01,3.350711059570312500e+01,2.984441184997558594e+01
5.726172924041748047e-01,3.431916046142578125e+01,2.913824272155761719e+01
6.036012172698974609e-01,3.098392486572265625e+01,3.227479934692382812e+01
6.380121707916259766e-01,3.441095352172851562e+01,2.906051445007324219e+01
6.764552593231201172e-01,3.844308853149414062e+01,2.601247787475585938e+01
7.036941051483154297e-01,2.723884582519531250e+01,3.671227645874023438e+01
7.381212711334228516e-01,3.442716598510742188e+01,2.904682922363281250e+01
7.728991508483886719e-01,3.477787780761718750e+01,2.875391006469726562e+01
8.044180870056152344e-01,3.151893615722656250e+01,3.172695922851562500e+01
8.377063274383544922e-01,3.328823852539062500e+01,3.004063987731933594e+01
8.750061988830566406e-01,3.729987335205078125e+01,2.680974197387695312e+01
9.045701026916503906e-01,2.956390380859375000e+01,3.382503128051757812e+01
9.411771297454833984e-01,3.660702514648437500e+01,2.731716156005859375e+01
9.773421287536621094e-01,3.616500091552734375e+01,2.765104293823242188e+01
1.007145166397094727e+00,2.980303764343261719e+01,3.355362701416015625e+01
1.038561105728149414e+00,3.141593933105468750e+01,3.183097648620605469e+01
1.070816993713378906e+00,3.225588989257812500e+01,3.100209045410156250e+01
1.104163169860839844e+00,3.334617614746093750e+01,2.998844528198242188e+01
1.139303207397460938e+00,3.514003753662109375e+01,2.845756721496582031e+01
1.172958135604858398e+00,3.365493011474609375e+01,2.971332931518554688e+01
1.204566001892089844e+00,3.160786628723144531e+01,3.163769340515136719e+01
1.237085103988647461e+00,3.251910400390625000e+01,3.075115394592285156e+01
1.270841121673583984e+00,3.375601959228515625e+01,2.962434577941894531e+01
1.304145097732543945e+00,3.330397796630859375e+01,3.002644348144531250e+01
1.338371992111206055e+00,3.422689437866210938e+01,2.921679115295410156e+01
1.372514963150024414e+00,3.414297103881835938e+01,2.928860473632812500e+01
1.404093265533447266e+00,3.157830238342285156e+01,3.166731262207031250e+01
1.437782049179077148e+00,3.368878173828125000e+01,2.968347167968750000e+01
1.470929145812988281e+00,3.314709472656250000e+01,3.016855621337890625e+01
1.505972146987915039e+00,3.504299926757812500e+01,2.853636932373046875e+01
1.539566993713378906e+00,3.359484863281250000e+01,2.976646804809570312e+01
1.572483062744140625e+00,3.291606903076171875e+01,3.038029861450195312e+01
1.604849100112915039e+00,3.236603546142578125e+01,3.089658546447753906e+01
1.638872146606445312e+00,3.402304840087890625e+01,2.939183998107910156e+01
1.671437025070190430e+00,3.256488037109375000e+01,3.070792770385742188e+01
1.703395128250122070e+00,3.195810317993164062e+01,3.129096794128417969e+01
1.739733934402465820e+00,3.633880615234375000e+01,2.751879119873046875e+01
1.773358106613159180e+00,3.362417221069335938e+01,2.974050903320312500e+01
1.805376052856445312e+00,3.201794433593750000e+01,3.123248672485351562e+01
1.838329076766967773e+00,3.295302581787109375e+01,3.034622764587402344e+01
1.870927095413208008e+00,3.259801864624023438e+01,3.067671203613281250e+01
1.904414176940917969e+00,3.348708343505859375e+01,2.986226081848144531e+01
1.938539028167724609e+00,3.412485122680664062e+01,2.930415725708007812e+01
1.973185062408447266e+00,3.464603424072265625e+01,2.886333274841308594e+01
2.005303144454956055e+00,3.211808013916015625e+01,3.113511085510253906e+01
2.037240028381347656e+00,3.193688392639160156e+01,3.131175804138183594e+01
2.070267200469970703e+00,3.302717208862304688e+01,3.027809906005859375e+01
2.104619979858398438e+00,3.435277938842773438e+01,2.910972595214843750e+01
2.139054059982299805e+00,3.443408203125000000e+01,2.904099464416503906e+01
2.173531055450439453e+00,3.447699737548828125e+01,2.900484657287597656e+01
2.204506158828735352e+00,3.097510337829589844e+01,3.228399276733398438e+01
2.237541198730468750e+00,3.303504180908203125e+01,3.027088737487792969e+01
2.271358251571655273e+00,3.381705474853515625e+01,2.957087707519531250e+01
2.303964138031005859e+00,3.260588836669921875e+01,3.066930770874023438e+01
2.340200185775756836e+00,3.623604583740234375e+01,2.759683036804199219e+01
2.373665094375610352e+00,3.346490859985351562e+01,2.988204765319824219e+01
2.404013156890869141e+00,3.034806251525878906e+01,3.295103454589843750e+01
