kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.823728203773498535e-01,9.877954721450805664e-01,9.860873818397521973e-01,9.084938764572143555e-01,8.483642339706420898e-01,7.733994722366333008e-01,7.797250747680664062e-01,2.632333151996135712e-02,3.181565925478935242e-02,5.355468019843101501e-02,5.298600718379020691e-02,3.382228547707200050e-03,3.440478350967168808e-03,2.574134850874543190e-03,2.992178546264767647e-03,4.182315431535243988e-03,4.951767157763242722e-03
9.823778271675109863e-01,9.879339933395385742e-01,9.860165715217590332e-01,9.112821221351623535e-01,8.468106389045715332e-01,7.740942239761352539e-01,7.830559015274047852e-01,2.605918422341346741e-02,3.229960426688194275e-02,5.461352691054344177e-02,5.455555394291877747e-02,3.379961475729942322e-03,3.483609762042760849e-03,2.573002595454454422e-03,3.014215733855962753e-03,4.148882813751697540e-03,4.940767306834459305e-03
9.823778271675109863e-01,9.879339933395385742e-01,9.860165715217590332e-01,9.112821221351623535e-01,8.468106389045715332e-01,7.740942239761352539e-01,7.830559015274047852e-01,2.605918422341346741e-02,3.229960426688194275e-02,5.461352691054344177e-02,5.455555394291877747e-02,3.379961475729942322e-03,3.483609762042760849e-03,2.573002595454454422e-03,3.014215733855962753e-03,4.148882813751697540e-03,4.940767306834459305e-03
9.828602671623229980e-01,9.881182312965393066e-01,9.863840937614440918e-01,9.110383391380310059e-01,8.473078012466430664e-01,7.725324034690856934e-01,7.892140746116638184e-01,2.637235447764396667e-02,3.449549898505210876e-02,5.510284006595611572e-02,5.715275555849075317e-02,3.377631306648254395e-03,3.560596611350774765e-03,2.454108558595180511e-03,2.935808850452303886e-03,3.926882054656744003e-03,4.739894997328519821e-03
9.828602671623229980e-01,9.881182312965393066e-01,9.863840937614440918e-01,9.110383391380310059e-01,8.473078012466430664e-01,7.725324034690856934e-01,7.892140746116638184e-01,2.637235447764396667e-02,3.449549898505210876e-02,5.510284006595611572e-02,5.715275555849075317e-02,3.377631306648254395e-03,3.560596611350774765e-03,2.454108558595180511e-03,2.935808850452303886e-03,3.926882054656744003e-03,4.739894997328519821e-03
9.828602671623229980e-01,9.881182312965393066e-01,9.863840937614440918e-01,9.110383391380310059e-01,8.473078012466430664e-01,7.725324034690856934e-01,7.892140746116638184e-01,2.637235447764396667e-02,3.449549898505210876e-02,5.510284006595611572e-02,5.715275555849075317e-02,3.377631306648254395e-03,3.560596611350774765e-03,2.454108558595180511e-03,2.935808850452303886e-03,3.926882054656744003e-03,4.739894997328519821e-03
9.830684661865234375e-01,9.879375100135803223e-01,9.867432117462158203e-01,9.076608419418334961e-01,8.509180545806884766e-01,7.697860598564147949e-01,7.922319769859313965e-01,2.625994011759757996e-02,3.569720685482025146e-02,5.512139201164245605e-02,5.848234891891479492e-02,3.431429853662848473e-03,3.662622533738613129e-03,2.451382111757993698e-03,2.976101823151111603e-03,3.881754353642463684e-03,4.717970732599496841e-03
9.737739562988281250e-01,9.868203997611999512e-01,9.776370525360107422e-01,9.449735879898071289e-01,8.275514245033264160e-01,8.525594472885131836e-01,7.834790349006652832e-01,4.403199627995491028e-02,2.696983516216278076e-02,5.685736984014511108e-02,3.834027051925659180e-02,9.082135744392871857e-03,7.412488106638193130e-03,4.981877282261848450e-03,4.249444697052240372e-03,7.160001900047063828e-03,7.029523141682147980e-03
9.737739562988281250e-01,9.868203997611999512e-01,9.776370525360107422e-01,9.449735879898071289e-01,8.275514245033264160e-01,8.525594472885131836e-01,7.834790349006652832e-01,4.403199627995491028e-02,2.696983516216278076e-02,5.685736984014511108e-02,3.834027051925659180e-02,9.082135744392871857e-03,7.412488106638193130e-03,4.981877282261848450e-03,4.249444697052240372e-03,7.160001900047063828e-03,7.029523141682147980e-03
9.735297560691833496e-01,9.866992235183715820e-01,9.776394367218017578e-01,9.446476101875305176e-01,8.238774538040161133e-01,8.457581996917724609e-01,7.807512283325195312e-01,4.222396016120910645e-02,2.713996171951293945e-02,5.650045350193977356e-02,3.933522105216979980e-02,8.821401745080947876e-03,7.386830169707536697e-03,5.091202910989522934e-03,4.400062840431928635e-03,7.447449490427970886e-03,7.369720842689275742e-03
9.727024435997009277e-01,9.865200519561767578e-01,9.775141477584838867e-01,9.433934092521667480e-01,8.236314654350280762e-01,8.315647244453430176e-01,7.723518610000610352e-01,3.718698024749755859e-02,2.600659243762493134e-02,5.072452127933502197e-02,3.799869492650032043e-02,8.108800277113914490e-03,7.037295959889888763e-03,5.106793250888586044e-03,4.582195542752742767e-03,7.817516103386878967e-03,7.967141456902027130e-03
9.727024435997009277e-01,9.865200519561767578e-01,9.775141477584838867e-01,9.433934092521667480e-01,8.236314654350280762e-01,8.315647244453430176e-01,7.723518610000610352e-01,3.718698024749755859e-02,2.600659243762493134e-02,5.072452127933502197e-02,3.799869492650032043e-02,8.108800277113914490e-03,7.037295959889888763e-03,5.106793250888586044e-03,4.582195542752742767e-03,7.817516103386878967e-03,7.967141456902027130e-03
9.726144671440124512e-01,9.864707589149475098e-01,9.777197837829589844e-01,9.421944618225097656e-01,8.252342939376831055e-01,8.261827826499938965e-01,7.690088748931884766e-01,3.560839965939521790e-02,2.583206444978713989e-02,4.919259622693061829e-02,3.788391128182411194e-02,7.908660918474197388e-03,6.954272277653217316e-03,5.092415492981672287e-03,4.643293563276529312e-03,7.928078994154930115e-03,8.165901526808738708e-03
