kp0_jitter_px,kp1_jitter_px,kp2_jitter_px,kp3_jitter_px,kp4_jitter_px,kp5_jitter_px,kp6_jitter_px,kp7_jitter_px,kp8_jitter_px,kp9_jitter_px,kp10_jitter_px,kp11_jitter_px,kp12_jitter_px,kp13_jitter_px,kp14_jitter_px,kp15_jitter_px,kp16_jitter_px
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.021765828132629395e-01,2.162304967641830444e-01,4.113262891769409180e-01,1.035618662834167480e+00,5.668089985847473145e-01,4.589385986328125000e+00,8.325054049491882324e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.262735366821289062e-01,9.965090155601501465e-01,1.251498699188232422e+00,2.580367565155029297e+00,3.293047189712524414e+00,2.118251562118530273e+00,1.535535693168640137e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.760324329137802124e-02,3.888042271137237549e-01,3.031872212886810303e-01,8.124684095382690430e-01,1.103806138038635254e+00,3.043531179428100586e+00,1.315022945404052734e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.565411090850830078e+00,6.589041709899902344e+00,1.079284191131591797e+00,9.459696769714355469e+00,1.027546119689941406e+01,3.681291580200195312e+01,2.299978446960449219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.010873496532440186e-01,4.141677021980285645e-01,1.378161460161209106e-01,7.932047843933105469e-01,6.052363514900207520e-01,2.011726140975952148e+00,1.364652872085571289e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.264658927917480469e+00,1.241908431053161621e+00,4.096405506134033203e-01,1.967018961906433105e+00,2.582195758819580078e+00,3.142869472503662109e+00,2.030683279037475586e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.214367151260375977e-01,2.848980724811553955e-01,2.309616804122924805e-01,2.007875591516494751e-01,5.269402265548706055e-02,1.331905245780944824e+00,1.496171116828918457e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.486062765121459961e-01,2.581829726696014404e-01,4.702100753784179688e-01,1.722048372030258179e-01,6.158174276351928711e-01,1.929624795913696289e+00,1.850456833839416504e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.503728449344635010e-01,4.741504192352294922e-01,1.809582859277725220e-01,1.010445475578308105e+00,3.069414496421813965e-01,1.209113001823425293e+00,8.098928928375244141e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
