t_sec,loop_dt_ms,inst_fps
1.173019409179687500e-03,1.173019409179687500e+00,8.525007934570312500e+02
4.772210121154785156e-02,4.654907989501953125e+01,2.148270225524902344e+01
7.906103134155273438e-02,3.133893013000488281e+01,3.190919303894042969e+01
1.091110706329345703e-01,3.005003929138183594e+01,3.327782821655273438e+01
1.438143253326416016e-01,3.470325469970703125e+01,2.881574058532714844e+01
1.772532463073730469e-01,3.343891906738281250e+01,2.990527343750000000e+01
2.070960998535156250e-01,2.984285354614257812e+01,3.350886154174804688e+01
2.422080039978027344e-01,3.511190414428710938e+01,2.848036956787109375e+01
2.922532558441162109e-01,5.004524993896484375e+01,1.998191642761230469e+01
3.782422542572021484e-01,8.598899841308593750e+01,1.162939453125000000e+01
3.938031196594238281e-01,1.556086540222167969e+01,6.426377868652343750e+01
4.108612537384033203e-01,1.705813407897949219e+01,5.862305831909179688e+01
4.446351528167724609e-01,3.377389907836914062e+01,2.960866355895996094e+01
4.750862121582031250e-01,3.045105934143066406e+01,3.283958053588867188e+01
5.090191364288330078e-01,3.393292236328125000e+01,2.946990585327148438e+01
5.446720123291015625e-01,3.565287780761718750e+01,2.804822731018066406e+01
5.787692070007324219e-01,3.409719467163085938e+01,2.932792663574218750e+01
6.106922626495361328e-01,3.192305564880371094e+01,3.132532119750976562e+01
6.430141925811767578e-01,3.232192993164062500e+01,3.093874740600585938e+01
6.763162612915039062e-01,3.330207061767578125e+01,3.002816200256347656e+01
7.089262008666992188e-01,3.260993957519531250e+01,3.066549682617187500e+01
7.427022457122802734e-01,3.377604675292968750e+01,2.960678100585937500e+01
7.779402732849121094e-01,3.523802947998046875e+01,2.837843132019042969e+01
8.085823059082031250e-01,3.064203262329101562e+01,3.263491058349609375e+01
8.430902957916259766e-01,3.450798797607421875e+01,2.897879791259765625e+01
8.769783973693847656e-01,3.388809967041015625e+01,2.950888442993164062e+01
9.122240543365478516e-01,3.524565887451171875e+01,2.837228775024414062e+01
9.443802833557128906e-01,3.215622711181640625e+01,3.109817504882812500e+01
9.793362617492675781e-01,3.495597839355468750e+01,2.860741043090820312e+01
1.013344049453735352e+00,3.400778961181640625e+01,2.940502738952636719e+01
1.046672344207763672e+00,3.332829284667968750e+01,3.000453758239746094e+01
1.076544046401977539e+00,2.987170219421386719e+01,3.347649765014648438e+01
1.110836267471313477e+00,3.429222106933593750e+01,2.916113281250000000e+01
1.144936323165893555e+00,3.410005569458007812e+01,2.932546615600585938e+01
1.179091215133666992e+00,3.415489196777343750e+01,2.927838325500488281e+01
1.209592103958129883e+00,3.050088882446289062e+01,3.278593063354492188e+01
1.244635343551635742e+00,3.504323959350585938e+01,2.853617477416992188e+01
1.277961254119873047e+00,3.332591247558593750e+01,3.000667953491210938e+01
1.312495231628417969e+00,3.453397750854492188e+01,2.895698928833007812e+01
1.343396186828613281e+00,3.090095520019531250e+01,3.236145782470703125e+01
1.379082202911376953e+00,3.568601608276367188e+01,2.802218055725097656e+01
1.410626173019409180e+00,3.154397010803222656e+01,3.170178031921386719e+01
1.445490360260009766e+00,3.486418914794921875e+01,2.868272590637207031e+01
1.477556228637695312e+00,3.206586837768554688e+01,3.118580818176269531e+01
1.512848138809204102e+00,3.529190826416015625e+01,2.833510780334472656e+01
1.544615268707275391e+00,3.176712989807128906e+01,3.147908020019531250e+01
1.583228349685668945e+00,3.861308288574218750e+01,2.589795875549316406e+01
1.612545013427734375e+00,2.931666374206542969e+01,3.411029434204101562e+01
1.645043373107910156e+00,3.249835968017578125e+01,3.077078437805175781e+01
1.677786111831665039e+00,3.274273681640625000e+01,3.054112434387207031e+01
1.715410232543945312e+00,3.762412261962890625e+01,2.657869338989257812e+01
1.745143175125122070e+00,2.973294258117675781e+01,3.363272857666015625e+01
1.780630111694335938e+00,3.548693847656250000e+01,2.817938232421875000e+01
1.812229156494140625e+00,3.159904479980468750e+01,3.164652633666992188e+01
1.846242189407348633e+00,3.401303100585937500e+01,2.940049743652343750e+01
1.879388332366943359e+00,3.314614105224609375e+01,3.016942405700683594e+01
1.913944244384765625e+00,3.455591201782226562e+01,2.893860816955566406e+01
1.945645093917846680e+00,3.170084953308105469e+01,3.154489517211914062e+01
1.981494188308715820e+00,3.584909439086914062e+01,2.789470672607421875e+01
2.015149116516113281e+00,3.365493011474609375e+01,2.971332931518554688e+01
2.045563220977783203e+00,3.041410446166992188e+01,3.287948226928710938e+01
2.079707145690917969e+00,3.414392471313476562e+01,2.928778648376464844e+01
2.114995241165161133e+00,3.528809356689453125e+01,2.833817100524902344e+01
