kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.544214010238647461e-01,9.330584406852722168e-01,8.923394083976745605e-01,7.934873104095458984e-01,5.531730055809020996e-01,9.927616715431213379e-01,9.921230673789978027e-01,9.693332314491271973e-01,9.493148922920227051e-01,9.465709328651428223e-01,9.179549217224121094e-01,9.947381615638732910e-01,9.945275187492370605e-01,9.879651069641113281e-01,9.851822257041931152e-01,9.701482653617858887e-01,9.645501971244812012e-01
9.544214010238647461e-01,9.330584406852722168e-01,8.923394083976745605e-01,7.934873104095458984e-01,5.531730055809020996e-01,9.927616715431213379e-01,9.921230673789978027e-01,9.693332314491271973e-01,9.493148922920227051e-01,9.465709328651428223e-01,9.179549217224121094e-01,9.947381615638732910e-01,9.945275187492370605e-01,9.879651069641113281e-01,9.851822257041931152e-01,9.701482653617858887e-01,9.645501971244812012e-01
9.631902575492858887e-01,9.439510703086853027e-01,9.143960475921630859e-01,8.041940927505493164e-01,6.013702154159545898e-01,9.939683675765991211e-01,9.941421151161193848e-01,9.729467630386352539e-01,9.620347023010253906e-01,9.526622891426086426e-01,9.354601502418518066e-01,9.952137470245361328e-01,9.953281879425048828e-01,9.875170588493347168e-01,9.856535792350769043e-01,9.670010209083557129e-01,9.628264307975769043e-01
9.637478590011596680e-01,9.453490972518920898e-01,9.145294427871704102e-01,8.088979125022888184e-01,5.971530675888061523e-01,9.940888881683349609e-01,9.941747784614562988e-01,9.738206863403320312e-01,9.622625112533569336e-01,9.539892673492431641e-01,9.359542727470397949e-01,9.952060580253601074e-01,9.952817559242248535e-01,9.872246980667114258e-01,9.851632714271545410e-01,9.656385183334350586e-01,9.609976410865783691e-01
9.637478590011596680e-01,9.453490972518920898e-01,9.145294427871704102e-01,8.088979125022888184e-01,5.971530675888061523e-01,9.940888881683349609e-01,9.941747784614562988e-01,9.738206863403320312e-01,9.622625112533569336e-01,9.539892673492431641e-01,9.359542727470397949e-01,9.952060580253601074e-01,9.952817559242248535e-01,9.872246980667114258e-01,9.851632714271545410e-01,9.656385183334350586e-01,9.609976410865783691e-01
9.638540744781494141e-01,9.452235102653503418e-01,9.152442216873168945e-01,8.072999119758605957e-01,6.000748276710510254e-01,9.939979314804077148e-01,9.941595792770385742e-01,9.733212590217590332e-01,9.624503850936889648e-01,9.532075524330139160e-01,9.360475540161132812e-01,9.950405955314636230e-01,9.951562881469726562e-01,9.865413904190063477e-01,9.845106601715087891e-01,9.635833501815795898e-01,9.589602947235107422e-01
9.638643860816955566e-01,9.446424245834350586e-01,9.158027768135070801e-01,8.045212626457214355e-01,6.043415665626525879e-01,9.940963983535766602e-01,9.943150877952575684e-01,9.736688733100891113e-01,9.634409546852111816e-01,9.538835287094116211e-01,9.374995231628417969e-01,9.952759742736816406e-01,9.954076409339904785e-01,9.873297214508056641e-01,9.854831695556640625e-01,9.658297300338745117e-01,9.616176486015319824e-01
9.638643860816955566e-01,9.446424245834350586e-01,9.158027768135070801e-01,8.045212626457214355e-01,6.043415665626525879e-01,9.940963983535766602e-01,9.943150877952575684e-01,9.736688733100891113e-01,9.634409546852111816e-01,9.538835287094116211e-01,9.374995231628417969e-01,9.952759742736816406e-01,9.954076409339904785e-01,9.873297214508056641e-01,9.854831695556640625e-01,9.658297300338745117e-01,9.616176486015319824e-01
9.637969136238098145e-01,9.445629715919494629e-01,9.154654741287231445e-01,8.048347830772399902e-01,6.034713983535766602e-01,9.941751360893249512e-01,9.943552017211914062e-01,9.740849137306213379e-01,9.636054039001464844e-01,9.545067548751831055e-01,9.377869963645935059e-01,9.954091906547546387e-01,9.955208301544189453e-01,9.877552390098571777e-01,9.859100580215454102e-01,9.669582247734069824e-01,9.627579450607299805e-01
9.635506272315979004e-01,9.444665312767028809e-01,9.147028326988220215e-01,8.053442835807800293e-01,6.004607677459716797e-01,9.941008687019348145e-01,9.942145943641662598e-01,9.737417697906494141e-01,9.624831080436706543e-01,9.538816809654235840e-01,9.361561536788940430e-01,9.953208565711975098e-01,9.954048395156860352e-01,9.876371622085571289e-01,9.856795668601989746e-01,9.668922424316406250e-01,9.624949097633361816e-01
9.635506272315979004e-01,9.444665312767028809e-01,9.147028326988220215e-01,8.053442835807800293e-01,6.004607677459716797e-01,9.941008687019348145e-01,9.942145943641662598e-01,9.737417697906494141e-01,9.624831080436706543e-01,9.538816809654235840e-01,9.361561536788940430e-01,9.953208565711975098e-01,9.954048395156860352e-01,9.876371622085571289e-01,9.856795668601989746e-01,9.668922424316406250e-01,9.624949097633361816e-01
9.636464715003967285e-01,9.443345665931701660e-01,9.153351187705993652e-01,8.039360642433166504e-01,6.031826734542846680e-01,9.940574169158935547e-01,9.942117333412170410e-01,9.734104871749877930e-01,9.625257253646850586e-01,9.533156752586364746e-01,9.360566139221191406e-01,9.952303767204284668e-01,9.953344464302062988e-01,9.872426986694335938e-01,9.852981567382812500e-01,9.656486511230468750e-01,9.612423181533813477e-01
9.635980725288391113e-01,9.439557194709777832e-01,9.155443906784057617e-01,8.023977875709533691e-01,6.052430868148803711e-01,9.940654039382934570e-01,9.942481517791748047e-01,9.734166860580444336e-01,9.628449082374572754e-01,9.533695578575134277e-01,9.364894628524780273e-01,9.952653646469116211e-01,9.953807592391967773e-01,9.873425960540771484e-01,9.854559302330017090e-01,9.659486413002014160e-01,9.616603255271911621e-01
9.635980725288391113e-01,9.439557194709777832e-01,9.155443906784057617e-01,8.023977875709533691e-01,6.052430868148803711e-01,9.940654039382934570e-01,9.942481517791748047e-01,9.734166860580444336e-01,9.628449082374572754e-01,9.533695578575134277e-01,9.364894628524780273e-01,9.952653646469116211e-01,9.953807592391967773e-01,9.873425960540771484e-01,9.854559302330017090e-01,9.659486413002014160e-01,9.616603255271911621e-01
9.634626507759094238e-01,9.438434839248657227e-01,9.151931405067443848e-01,8.024248480796813965e-01,6.041187644004821777e-01,9.940404295921325684e-01,9.942119717597961426e-01,9.732590317726135254e-01,9.625087976455688477e-01,9.530957341194152832e-01,9.359910488128662109e-01,9.952526092529296875e-01,9.953625202178955078e-01,9.873723387718200684e-01,9.854690432548522949e-01,9.661558866500854492e-01,9.618445634841918945e-01
