t_sec,loop_dt_ms,inst_fps
2.799987792968750000e-03,2.799987792968750000e+00,3.571444091796875000e+02
4.062008857727050781e-02,3.782009887695312500e+01,2.644096755981445312e+01
9.569120407104492188e-02,5.507111358642578125e+01,1.815834045410156250e+01
1.275680065155029297e-01,3.187680244445800781e+01,3.137077522277832031e+01
1.598200798034667969e-01,3.225207519531250000e+01,3.100575637817382812e+01
1.907532215118408203e-01,3.093314170837402344e+01,3.232778549194335938e+01
2.240390777587890625e-01,3.328585815429687500e+01,3.004278945922851562e+01
2.550349235534667969e-01,3.099584579467773438e+01,3.226238632202148438e+01
2.898919582366943359e-01,3.485703277587890625e+01,2.868861579895019531e+01
3.240358829498291016e-01,3.414392471313476562e+01,2.928778648376464844e+01
3.570311069488525391e-01,3.299522399902343750e+01,3.030741691589355469e+01
3.918991088867187500e-01,3.486800384521484375e+01,2.867958831787109375e+01
4.252231121063232422e-01,3.332400512695312500e+01,3.000839805603027344e+01
4.565820693969726562e-01,3.135895729064941406e+01,3.188881492614746094e+01
4.916911125183105469e-01,3.510904312133789062e+01,2.848269081115722656e+01
5.238261222839355469e-01,3.213500976562500000e+01,3.111870765686035156e+01
5.581772327423095703e-01,3.435111236572265625e+01,2.911113929748535156e+01
5.922310352325439453e-01,3.405380249023437500e+01,2.936529541015625000e+01
6.248569488525390625e-01,3.262591552734375000e+01,3.065048027038574219e+01
6.579339504241943359e-01,3.307700347900390625e+01,3.023248481750488281e+01
6.904871463775634766e-01,3.255319595336914062e+01,3.071895027160644531e+01
7.246370315551757812e-01,3.414988708496093750e+01,2.928267288208007812e+01
7.595679759979248047e-01,3.493094635009765625e+01,2.862791061401367188e+01
7.929911613464355469e-01,3.342318725585937500e+01,2.991934967041015625e+01
8.272490501403808594e-01,3.425788879394531250e+01,2.919035720825195312e+01
8.586421012878417969e-01,3.139305114746093750e+01,3.185418319702148438e+01
8.932182788848876953e-01,3.457617950439453125e+01,2.892164611816406250e+01
9.252119064331054688e-01,3.199362754821777344e+01,3.125622367858886719e+01
9.588930606842041016e-01,3.368115234375000000e+01,2.969019508361816406e+01
9.953300952911376953e-01,3.643703460693359375e+01,2.744460487365722656e+01
1.025327920913696289e+00,2.999782562255859375e+01,3.333575057983398438e+01
1.058126926422119141e+00,3.279900360107421875e+01,3.048873138427734375e+01
1.093214988708496094e+00,3.508806228637695312e+01,2.849972152709960938e+01
1.126201868057250977e+00,3.298687744140625000e+01,3.031508445739746094e+01
1.157958030700683594e+00,3.175616264343261719e+01,3.148995018005371094e+01
1.193187236785888672e+00,3.522920608520507812e+01,2.838553810119628906e+01
1.225542068481445312e+00,3.235483169555664062e+01,3.090728569030761719e+01
1.258973121643066406e+00,3.343105316162109375e+01,2.991230964660644531e+01
1.293601036071777344e+00,3.462791442871093750e+01,2.887843513488769531e+01
1.324037075042724609e+00,3.043603897094726562e+01,3.285578536987304688e+01
1.358626127243041992e+00,3.458905029296875000e+01,2.891088294982910156e+01
1.393254041671752930e+00,3.462791442871093750e+01,2.887843513488769531e+01
1.425158023834228516e+00,3.190398216247558594e+01,3.134404945373535156e+01
1.458350896835327148e+00,3.319287109375000000e+01,3.012695121765136719e+01
1.494246959686279297e+00,3.589606475830078125e+01,2.785820770263671875e+01
1.525496244430541992e+00,3.124928474426269531e+01,3.200073242187500000e+01
1.561098098754882812e+00,3.560185241699218750e+01,2.808842658996582031e+01
1.594877004623413086e+00,3.377890777587890625e+01,2.960427284240722656e+01
1.625965118408203125e+00,3.108811378479003906e+01,3.216663360595703125e+01
1.659889936447143555e+00,3.392481994628906250e+01,2.947694396972656250e+01
1.694169998168945312e+00,3.428005981445312500e+01,2.917147827148437500e+01
1.726520299911499023e+00,3.235030364990234375e+01,3.091161155700683594e+01
1.759346961975097656e+00,3.282666015625000000e+01,3.046304512023925781e+01
1.794564962387084961e+00,3.521800231933593750e+01,2.839456939697265625e+01
1.826281070709228516e+00,3.171610832214355469e+01,3.152972030639648438e+01
1.860666036605834961e+00,3.438496398925781250e+01,2.908247947692871094e+01
1.894195079803466797e+00,3.352904510498046875e+01,2.982488822937011719e+01
1.927227020263671875e+00,3.303194046020507812e+01,3.027372932434082031e+01
1.961419105529785156e+00,3.419208526611328125e+01,2.924653434753417969e+01
1.996207952499389648e+00,3.478884887695312500e+01,2.874484252929687500e+01
2.027122020721435547e+00,3.091406822204589844e+01,3.234773254394531250e+01
2.060663223266601562e+00,3.354120254516601562e+01,2.981407737731933594e+01
2.095233201980590820e+00,3.456997680664062500e+01,2.892683410644531250e+01
2.128652095794677734e+00,3.341889190673828125e+01,2.992319488525390625e+01
2.161267995834350586e+00,3.261589813232421875e+01,3.065989494323730469e+01
2.196531057357788086e+00,3.526306152343750000e+01,2.835828590393066406e+01
2.228229999542236328e+00,3.169894218444824219e+01,3.154679489135742188e+01
2.262315034866333008e+00,3.408503723144531250e+01,2.933838653564453125e+01
2.296282052993774414e+00,3.396701812744140625e+01,2.944032287597656250e+01
2.328280925750732422e+00,3.199887275695800781e+01,3.125110054016113281e+01
2.361941099166870117e+00,3.366017150878906250e+01,2.970870208740234375e+01
2.397680997848510742e+00,3.573989868164062500e+01,2.797993469238281250e+01
2.429043054580688477e+00,3.136205673217773438e+01,3.188566398620605469e+01
2.461592912673950195e+00,3.254985809326171875e+01,3.072209930419921875e+01
2.497336864471435547e+00,3.574394989013671875e+01,2.797676277160644531e+01
2.529499053955078125e+00,3.216218948364257812e+01,3.109241104125976562e+01
2.562807083129882812e+00,3.330802917480468750e+01,3.002279090881347656e+01
2.596919059753417969e+00,3.411197662353515625e+01,2.931521797180175781e+01
2.629567146301269531e+00,3.264808654785156250e+01,3.062966728210449219e+01
2.663338184356689453e+00,3.377103805541992188e+01,2.961117172241210938e+01
2.696939229965209961e+00,3.360104370117187500e+01,2.976098060607910156e+01
2.729756116867065430e+00,3.281688690185546875e+01,3.047211647033691406e+01
2.764122009277343750e+00,3.436589050292968750e+01,2.909861946105957031e+01
2.798613071441650391e+00,3.449106216430664062e+01,2.899301910400390625e+01
2.831025123596191406e+00,3.241205215454101562e+01,3.085272026062011719e+01
2.863619089126586914e+00,3.259396362304687500e+01,3.068052673339843750e+01
2.897219181060791016e+00,3.360009002685546875e+01,2.976182556152343750e+01
2.931714057922363281e+00,3.449487686157226562e+01,2.898981285095214844e+01
2.964143991470336914e+00,3.242993164062500000e+01,3.083571052551269531e+01
2.999676942825317383e+00,3.553295135498046875e+01,2.814289093017578125e+01
3.030740022659301758e+00,3.106307983398437500e+01,3.219255828857421875e+01
3.062215089797973633e+00,3.147506713867187500e+01,3.177117919921875000e+01
3.098739147186279297e+00,3.652405548095703125e+01,2.737921524047851562e+01
3.129682064056396484e+00,3.094291687011718750e+01,3.231757354736328125e+01
3.164590120315551758e+00,3.490805816650390625e+01,2.864668083190917969e+01
3.197999000549316406e+00,3.340888214111328125e+01,2.993215942382812500e+01
3.230446100234985352e+00,3.244709777832031250e+01,3.081939697265625000e+01
3.264218091964721680e+00,3.377199172973632812e+01,2.961033439636230469e+01
3.297771215438842773e+00,3.355312347412109375e+01,2.980348396301269531e+01
3.330604076385498047e+00,3.283286285400390625e+01,3.045728874206542969e+01
3.361441135406494141e+00,3.083705902099609375e+01,3.242851257324218750e+01
3.398782014846801758e+00,3.734088134765625000e+01,2.678030014038085938e+01
