kp0_jitter_px,kp1_jitter_px,kp2_jitter_px,kp3_jitter_px,kp4_jitter_px,kp5_jitter_px,kp6_jitter_px,kp7_jitter_px,kp8_jitter_px,kp9_jitter_px,kp10_jitter_px,kp11_jitter_px,kp12_jitter_px,kp13_jitter_px,kp14_jitter_px,kp15_jitter_px,kp16_jitter_px
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.849678158760070801e-01,1.016348123550415039e+00,8.002499938011169434e-01,1.220387935638427734e+00,1.058459639549255371e+00,2.527212142944335938e+00,1.760149240493774414e+00,3.220655679702758789e+00,1.966983437538146973e+00,2.754815578460693359e+00,1.659093856811523438e+00,1.788560867309570312e+00,1.217971682548522949e+00,5.032058238983154297e+00,1.850319147109985352e+00,2.144844055175781250e+00,2.353836774826049805e+00
7.473834156990051270e-01,6.133471131324768066e-01,6.427811980247497559e-01,3.314097821712493896e-01,4.042676389217376709e-01,4.989803135395050049e-01,2.464746534824371338e-01,6.438621282577514648e-01,6.585503816604614258e-01,1.464303016662597656e+00,3.731085956096649170e-01,6.259869933128356934e-01,5.694762468338012695e-01,1.149398446083068848e+00,1.531868577003479004e+00,4.058192670345306396e-01,1.373521327972412109e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.161225527524948120e-01,2.420877516269683838e-01,1.991895139217376709e-01,2.809802889823913574e-01,1.754682660102844238e-01,3.011396527290344238e-01,1.912159919738769531e-01,2.064248770475387573e-01,2.408503890037536621e-01,1.968239545822143555e-01,4.209070205688476562e-01,1.092373281717300415e-01,1.865651607513427734e-01,2.301100492477416992e-01,2.753025293350219727e-01,1.683600246906280518e-01,2.235362529754638672e-01
4.031023681163787842e-01,3.620424270629882812e-01,4.030983746051788330e-01,4.539778530597686768e-01,4.638122022151947021e-01,5.121213793754577637e-01,4.297523796558380127e-01,9.366127252578735352e-01,2.138737142086029053e-01,1.253952980041503906e+00,1.152661323547363281e+00,7.719191163778305054e-02,1.472728550434112549e-01,4.700886011123657227e-01,3.093471229076385498e-01,3.591379225254058838e-01,2.357200980186462402e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.961291611194610596e-02,9.550178796052932739e-02,7.623410969972610474e-02,1.076843515038490295e-01,5.703999847173690796e-02,2.972186543047428131e-02,1.679890602827072144e-01,2.968451380729675293e-01,1.266767084598541260e-01,2.687016725540161133e-01,1.464923191815614700e-02,2.455239444971084595e-01,3.516227006912231445e-01,3.043048679828643799e-01,5.576218366622924805e-01,5.717392563819885254e-01,6.295496225357055664e-01
1.558073759078979492e-01,1.659101247787475586e-01,1.734256744384765625e-01,9.213280677795410156e-02,6.833149492740631104e-02,2.560227513313293457e-01,1.950569003820419312e-01,5.812498927116394043e-01,3.312013745307922363e-01,5.632752180099487305e-01,1.248269826173782349e-01,1.800324469804763794e-01,1.485583782196044922e-01,1.862420886754989624e-01,2.788900732994079590e-01,3.433950841426849365e-01,5.281687974929809570e-01
