t_sec,loop_dt_ms,inst_fps
2.343893051147460938e-03,2.343893051147460938e+00,4.266406250000000000e+02
5.565166473388671875e-02,5.330776977539062500e+01,1.875899124145507812e+01
9.027194976806640625e-02,3.462028503417968750e+01,2.888479995727539062e+01
1.199197769165039062e-01,2.964782714843750000e+01,3.372928619384765625e+01
1.529958248138427734e-01,3.307604980468750000e+01,3.023335647583007812e+01
1.870567798614501953e-01,3.406095504760742188e+01,2.935912895202636719e+01
2.098228931427001953e-01,2.276611328125000000e+01,4.392493438720703125e+01
2.482538223266601562e-01,3.843093109130859375e+01,2.602070617675781250e+01
2.775149345397949219e-01,2.926111221313476562e+01,3.417505264282226562e+01
3.668301105499267578e-01,8.931517791748046875e+01,1.119630527496337891e+01
3.819897174835205078e-01,1.515960693359375000e+01,6.596476745605468750e+01
4.148747920989990234e-01,3.288507461547851562e+01,3.040893173217773438e+01
4.515340328216552734e-01,3.665924072265625000e+01,2.727825164794921875e+01
4.825747013092041016e-01,3.104066848754882812e+01,3.221580123901367188e+01
5.177578926086425781e-01,3.518318939208984375e+01,2.842266464233398438e+01
5.511019229888916016e-01,3.334403228759765625e+01,2.999037361145019531e+01
5.879838466644287109e-01,3.688192367553710938e+01,2.711355400085449219e+01
6.189796924591064453e-01,3.099584579467773438e+01,3.226238632202148438e+01
6.536979675292968750e-01,3.471827697753906250e+01,2.880327224731445312e+01
6.875200271606445312e-01,3.382205963134765625e+01,2.956650161743164062e+01
7.233078479766845703e-01,3.578781890869140625e+01,2.794246864318847656e+01
7.562286853790283203e-01,3.292083740234375000e+01,3.037589836120605469e+01
7.908899784088134766e-01,3.466129302978515625e+01,2.885062599182128906e+01
8.283100128173828125e-01,3.742003631591796875e+01,2.672365188598632812e+01
8.601226806640625000e-01,3.181266784667968750e+01,3.143401908874511719e+01
8.944818973541259766e-01,3.435921478271484375e+01,2.910427474975585938e+01
9.374518394470214844e-01,4.296994018554687500e+01,2.327208328247070312e+01
9.619297981262207031e-01,2.447795867919921875e+01,4.085308074951171875e+01
9.982268810272216797e-01,3.629708099365234375e+01,2.755042457580566406e+01
1.030773878097534180e+00,3.254699707031250000e+01,3.072480010986328125e+01
